answer_id,root_comment
4890580117358668,40
4890579818780040,0
4890577248193671,0
4890573867584861,0
4890573041305256,0
4890570050766202,0
4890565239900496,0
4890560848727701,0
4890559414010133,0
4890555157579335,1
4890547137546026,0
4890518036945950,1
4890517257587681,10
4890511301673779,0
4890486512552517,0
4890478980368095,3
4890474794452412,0
4890463104140852,0
4890462030139639,0
4890461455781213,51
4890459644104695,0
4890455714301997,102
4890454614871128,0
4890453965801486,0
4890450207443237,1
4890442618898823,0
4890422818112815,2
4890406972821059,0
4890403150497101,0
4890388780813177,25
4890385833265866,2
4890375375818483,0
4890373174329399,34
4890372624877806,0
4890367520412981,0
4890366753638441,0
4890362919258210,0
4890360993811755,0
4890353725606654,0
4890349115278070,0
4890341909464037,0
4890339385019863,0
4890325531230901,0
4890281248555159,2
4890220179492223,0
4890219700293651,1
4890217805515354,1
4890215564447897,0
4890214471042377,0
4890211609742156,3
4890210925545452,0
4890208778848413,11
4890206174711151,0
4890200070685551,3
4890196044418343,1
4890191733460904,0
4890181645108131,1
4890176440239333,0
4890168551801086,0
4890160683292230,4
4890132585119944,1
4890129242528552,12
4890116974447298,4
4890101085900048,13
4890094248661306,0
4890084572923806,0
4890079895749006,0
4890071180250517,0
4890067368415740,0
4890065711662169,4
4890065673912376,1
4890052465789128,0
4890051831403217,1
4890049168541800,0
4890046999566340,0
4890042751256883,3
4890016188728096,0
4890003324536354,0
4889999240070024,27
4889997037798488,0
4889996135236910,3
4889990317998102,0
4889980143405826,58
4889974958461678,19
4889874908316729,0
4889860403888270,1
4889849176263549,13
4889838014436238,0
4889833744370090,1
4889800148261111,4
4889797518692115,6
4889794997392993,6
4889788405253451,33
4889782406613509,0
4889779312005529,1
4889771001777060,0
4889765737924283,0
4889758525034484,174
4889742397669526,0
4889740178098058,30
4889730007436138,1
4889727076144208,5
4889725305356304,1
4889706644374641,0
4889703137941251,0
4889693038842559,2
4889692439056258,0
4889644971329229,3
4889644511271640,1
4889635283535620,0
4889616467889069,0
4889607503612587,0
4889594719895570,1
4889561459327322,46
4889526608069452,0
4889525674050287,0
4889462151059590,0
4889458240921600,0
4889457939711970,2
4889454948391693,0
4889446753767024,0
4889444542841799,3
4889435256393465,11
4889375680499590,2
4889364011683962,0
4889350661211727,0
4889329040099659,0
4889328399158283,7
4889327816147878,1
4889324115728879,0
4889323977048623,1
4889322199978977,0
4889305364042059,33
4889304021862616,6
4889301421132289,0
4889278116529374,0
4889243115588053,2
4889232922902550,0
4889187923526237,1
4889141558904803,0
4889136915547686,0
4889097829614995,1
4889089977882741,0
4889070512379466,1
4889067408070383,17
4889063557694497,0
4889047329933770,0
4889033211384527,0
4888999016010713,0
4888995387936236,0
4888978191025082,0
4888972880773968,2
4888972091982926,1
4888939225680511,0
4888925796044706,1
4888920418158334,0
4888899543369852,0
4888877465076909,3
4888871798571512,0
4888789623244547,0
4888734098523456,0
4888731301976266,1
4888707565358521,1
4888694768796022,1
4888692260340800,1
4888691049238841,0
4888748367548381,0
4888646048026149,71
4888628951778845,1
4888598622771010,3
4888592738162480,0
4888655158315183,6
4888652871633699,12
4888649525105810,1
4888589810271799,0
4888586450633798,1
4888574278765988,0
4888561986044716,18
4888558853164256,0
4888555904831290,0
4888554989687506,0
4888550061381568,3
4888546643544266,0
4888545308707566,20
4888505971114380,0
4888500329251505,0
4888496906698977,0
4888496786113058,0
4888496403906741,1
4888446634558365,0
4888428229166240,4
4888418272938699,2
4888416116017421,0
4888409641059617,59
4888398088901729,0
4888383165566969,2
4888374568026509,1
4888373078786736,3
4888346503154679,0
4888336517565772,0
4888328396346141,1
4888328107723589,1
4888325360719774,0
4888324031122265,0
4888314290644216,1
4888304850043698,7
4888299590387566,0
4888299535600469,0
4888292271853110,0
4888274999183698,1
4888239691793986,1
4888219479447213,0
4888209094082657,1
4888186666879720,0
4888181466465055,0
4888176269986984,1
4888125472243850,0
4888066709522446,5
4888058828949133,1
4888058094160076,1
4888052005339213,2
4888041241446067,3
4888022942487982,1
4888006144562809,24
4888005640985541,0
4888003195699700,0
4887995482904503,0
4887961089082202,0
4887958342336781,0
4887956831605232,0
4887953199073175,33
4887951882326916,0
4887931695138281,1
4887901411742221,0
4887891118916612,4
4887884681448175,0
4887880428949807,0
4887878959632284,1
4887872169319037,1
4887871758271023,0
4887870924653426,0
4887848027949447,1
4887843052979706,98
4887834031035050,0
4887829614956026,0
4887827663291030,0
4887819443766986,0
4887812006478967,2
4887811017411317,0
4887807036752104,4
4887794281873705,0
4887713281475298,0
4887703583197120,0
4887702698983946,0
4887698664325153,1
4887693773505266,0
4887682344028588,0
4887681127940798,0
4887653608325271,1
4887649027887767,0
4887640844797224,0
4887624256329103,0
4887620087192255,25
4887610499535250,44
4887607161393133,0
4887585740555502,0
4887579566020041,0
4887576958469879,0
4887558960715098,0
4887539313280750,1
4887486507255995,68
4887478420899582,1
4887468609899954,0
4887452643494040,2
4887449849561236,4
4887444396968254,2
4887438927856291,0
4887429275715728,0
4887428541975263,0
4887319486926784,0
4887307323182562,5
4887297625950045,1
4887294832020783,0
4887282689770864,0
4887268886578407,0
4887267367198694,0
4887266533051818,0
4887265371493872,0
4887245628114251,1
4887232130850344,27
4887208627013983,0
4887193875123673,0
4887172764930179,1
4887164464140557,0
4887154528617352,0
4887152208644404,0
4887150548488136,0
4887138959103015,0
4887134739891203,0
4887134399368675,0
4887133405578430,1
4887123380933426,3
4887123373589539,0
4887106944762005,12
4887091554812695,22
4887086891272758,0
4887074274805880,2
4887070273175991,10
4887066732658742,0
4887048781300008,0
4887032671240359,0
4886993467081201,0
4886987377476237,1
4886983077267502,1
4886970033506799,0
4886967454532714,12
4886965911028518,1
4886963045532357,0
4886962609062803,2
4886959619049716,1
4886916069335366,0
4886908306457481,3
4886906481412493,0
4886906480892405,0
4886906481148010,0
4886906481152861,0
4886906477481405,0
4886906477215780,0
4886906476697674,0
4886906476693465,0
4886906473022761,0
4886906473550436,0
4886906473808642,0
4886902513344099,0
4886881508529202,0
4886849296531507,123
4886840177590761,0
4886813061678103,0
4886797085574522,0
4886780040185206,0
4886779192677308,3
4886778080660530,1
4886776735338290,2
4886775543104988,12
4886775149625477,0
4886774016382153,3
4886772192380275,0
4886770753999335,2
4886769100916150,5
4886754483766133,132
4886752155930328,0
4886750763160415,0
4886742811544969,3
4886742660814273,1
4886742353583668,0
4886739283871209,2
4886736834926678,1
4886728907164749,20
4886721323863820,16
4886714609043277,1
4886649370837212,1
4886633356984802,0
4886624150225707,1
4886619741488104,1
4886606102136404,1
4886595373107513,3
4886580638518491,3
4886564901755195,0
4886562556348723,1
4886559759275801,0
4886536619822785,2
4886530990020743,1
4886530471232194,1
4886522040157655,0
4886504306118906,0
4886503606190926,0
4886499948758179,1
